Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2009,England & Wales,*E&W total,*Offence total,,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",111,264007,264118
2009,England & Wales,*E&W total,*Offence total,,Offences peculiar to motor cycles,Other offences,47,1373,1420
2009,England & Wales,*E&W total,*Offence total,,Seat belt offences,Miscellaneous motoring offences,0,203369,203369
2009,England & Wales,*E&W total,*Offence total,,Speed limit offences,Speed limit offences,1077488,0,1077488
2009,England & Wales,*E&W total,*Offence total,,Use of hand-held mobile phone while driving,Careless driving,125518,0,125518
2009,England & Wales,*E&W total,*Offence total,,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,2550,814,3364
2009,England & Wales,*E&W total,*Offence total,,Vehicle insurance offences,"Licence, insurance and record keeping offences",20045,0,20045
2009,England & Wales,*E&W total,*Offence total,,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,8923,12486,21409
2009,England & Wales,*E&W total,*Offence total,,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",0,57465,57465
2009,England & Wales,*E&W total,*Offence total,,Vehicle test offences,Vehicle test and condition offences,0,47911,47911
2010,England & Wales,*E&W total,*Offence total,,Driving licence related offences,"Licence, insurance and record keeping offences",7682,5,7687
2010,England & Wales,*E&W total,*Offence total,,Lighting offences,Lighting and noise offences,0,17168,17168
2010,England & Wales,*E&W total,*Offence total,,Load offences,Other offences,1193,7629,8822
2010,England & Wales,*E&W total,*Offence total,,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,16,6123,6139
2010,England & Wales,*E&W total,*Offence total,,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,2140,1141,3281
2010,England & Wales,*E&W total,*Offence total,,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,6442,2164,8606
2010,England & Wales,*E&W total,*Offence total,,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,99953,48226,148179
2010,England & Wales,*E&W total,*Offence total,,Noise offences,Lighting and noise offences,0,2141,2141
2010,England & Wales,*E&W total,*Offence total,,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",134,199259,199393
2010,England & Wales,*E&W total,*Offence total,,Offences peculiar to motor cycles,Other offences,37,1055,1092
2010,England & Wales,*E&W total,*Offence total,,Seat belt offences,Miscellaneous motoring offences,0,176403,176403
2010,England & Wales,*E&W total,*Offence total,,Speed limit offences,Speed limit offences,986744,0,986744
2010,England & Wales,*E&W total,*Offence total,,Use of hand-held mobile phone while driving,Careless driving,124728,0,124728
2010,England & Wales,*E&W total,*Offence total,,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,2748,650,3398
2010,England & Wales,*E&W total,*Offence total,,Vehicle insurance offences,"Licence, insurance and record keeping offences",22196,0,22196
2010,England & Wales,*E&W total,*Offence total,,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,10659,11218,21877
2010,England & Wales,*E&W total,*Offence total,,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",0,45828,45828
2010,England & Wales,*E&W total,*Offence total,,Vehicle test offences,Vehicle test and condition offences,0,55469,55469
2007,England,North East,Cleveland,,*All offences,*All offences,15625,5934,21559
2007,England,North East,Durham,,*All offences,*All offences,4399,8659,13058
2007,England,North East,Northumbria,,*All offences,*All offences,44052,26202,70254
2007,England,North East,*Region total,,*All offences,*All offences,64076,40795,104871
2007,England,North West,Cheshire,,*All offences,*All offences,37690,22878,60568
2007,England,North West,Cumbria,,*All offences,*All offences,30780,4952,35732
2007,England,North West,Greater Manchester,,*All offences,*All offences,62851,37756,100607
2007,England,North West,Lancashire,,*All offences,*All offences,59534,10542,70076
2007,England,North West,Merseyside,,*All offences,*All offences,35853,42867,78720
2007,England,North West,*Region total,,*All offences,*All offences,226708,118995,345703
2007,England,Yorkshire & The Humber,Humberside,,*All offences,*All offences,37512,19869,57381
2007,England,Yorkshire & The Humber,North Yorkshire,,*All offences,*All offences,11036,17373,28409
2007,England,Yorkshire & The Humber,South Yorkshire,,*All offences,*All offences,47114,15713,62827
2007,England,Yorkshire & The Humber,West Yorkshire,,*All offences,*All offences,53286,34734,88020
2007,England,Yorkshire & The Humber,*Region total,,*All offences,*All offences,148948,87689,236637
2007,England,East Midlands,Derbyshire,,*All offences,*All offences,24768,11458,36226
2007,England,East Midlands,Leicestershire,,*All offences,*All offences,29193,8896,38089
2007,England,East Midlands,Lincolnshire,,*All offences,*All offences,27049,19730,46779
2007,England,East Midlands,Northamptonshire,,*All offences,*All offences,28372,5093,33465
2007,England,East Midlands,Nottinghamshire,,*All offences,*All offences,48032,15144,63176
2007,England,East Midlands,*Region total,,*All offences,*All offences,157414,60321,217735
2007,England,West Midlands,Staffordshire,,*All offences,*All offences,34099,18588,52687
2007,England,West Midlands,Warwickshire,,*All offences,*All offences,31228,9637,40865
2007,England,West Midlands,West Mercia,,*All offences,*All offences,61624,13748,75372
2007,England,West Midlands,West Midlands,,*All offences,*All offences,54945,33114,88059
2007,England,West Midlands,*Region total,,*All offences,*All offences,181896,75087,256983
2007,England,East of England,Bedfordshire,,*All offences,*All offences,33493,6320,39813
2007,England,East of England,Cambridgeshire,,*All offences,*All offences,28113,14971,43084
2007,England,East of England,Essex,,*All offences,*All offences,55978,25194,81172
2007,England,East of England,Hertfordshire,,*All offences,*All offences,49299,13739,63038
2007,England,East of England,Norfolk,,*All offences,*All offences,26520,10298,36818
2007,England,East of England,Suffolk,,*All offences,*All offences,33718,15390,49108
2007,England,East of England,*Region total,,*All offences,*All offences,227121,85912,313033
2007,England,London,"London, City of",,*All offences,*All offences,4599,3894,8493
2007,England,London,Metropolitan Police,,*All offences,*All offences,110810,57150,167960
2007,England,London,*Region total,,*All offences,*All offences,115409,61044,176453
2007,England,South East,Hampshire,,*All offences,*All offences,56484,21063,77547
2007,England,South East,Kent,,*All offences,*All offences,55420,8811,64231
2007,England,South East,Surrey,,*All offences,*All offences,35860,7431,43291
2007,England,South East,Sussex,,*All offences,*All offences,55101,43238,98339
2007,England,South East,Thames Valley,,*All offences,*All offences,61308,37991,99299
2007,England,South East,*Region total,,*All offences,*All offences,264173,118534,382707
